word,embedding
naming,"[ 8.4497832e-04 -2.7262683e-03 -1.7403775e-03  6.7701982e-04
  1.6824584e-03 -4.1689752e-03  2.4013126e-03  3.8783418e-03
 -3.5637373e-03 -2.0901228e-03  3.0187124e-03 -4.5362846e-03
 -1.7207885e-03  5.5459095e-04 -1.9002625e-03 -4.6044504e-03
 -1.8372225e-03 -8.8381075e-04  1.3465391e-03  5.0602062e-04
  1.4883881e-03 -1.9516312e-03 -2.7652653e-03 -4.1738655e-03
 -1.5329359e-03 -4.0344876e-04  4.6881596e-03 -2.3976630e-03
  3.2429795e-03  4.6936325e-03  2.6477578e-03  2.1999278e-03
  2.2149858e-05 -1.8166844e-03  3.0389084e-03 -4.1605956e-03
 -2.1828525e-03 -7.4614357e-04 -3.6088310e-03  4.2112051e-03
 -1.4258006e-03  2.1050454e-03  4.8894053e-03 -8.5425141e-05
  3.1466740e-03  2.9788311e-03 -2.8002218e-04 -2.9230688e-03
  2.9760143e-03  6.3477951e-04  4.3266579e-03 -2.0902161e-03
 -3.8660408e-03  4.9973712e-03 -4.1391230e-03  2.6769945e-04
  2.7317626e-03 -1.0802689e-03 -9.0182474e-04  6.8713975e-04
 -2.8757094e-03  3.9713560e-03  3.5980043e-03 -4.4081542e-03
  2.5241854e-04  1.3535870e-03 -1.5403375e-03 -5.0686556e-03
  2.8760100e-03 -2.6222619e-03  2.2237048e-04  4.2175092e-03
  2.0131860e-03  3.6234264e-03  2.3367458e-03  2.3436919e-03
 -1.2814525e-03 -1.9248683e-03 -1.5413027e-03  3.4920177e-03
 -2.8480755e-04 -6.2123098e-04  2.4947831e-03 -2.9202311e-03
  1.7481692e-03 -1.3413279e-03  1.0768936e-03 -3.3967367e-03
  1.4266386e-05  2.8505819e-03 -3.7941406e-03 -3.4647982e-03
  3.6146692e-03  9.9219510e-04  3.2946519e-03 -3.2288698e-03
  2.5253028e-03  1.7050745e-03  1.1260137e-03  2.3637265e-03]"
of,"[ 4.9793357e-03  6.5040034e-03 -1.7825991e-03 -3.3238486e-03
 -3.9900085e-03  5.4804720e-03 -9.5594805e-03 -3.6530122e-03
  1.3775063e-03  8.1347926e-03 -2.3608913e-03  9.1744373e-03
  1.0110448e-02 -2.3889281e-03  2.1436435e-04 -6.3526635e-03
  4.3774447e-03  6.2341196e-04 -1.2335361e-03  4.6655177e-03
 -3.9732601e-03  6.5675797e-03 -5.5858173e-04 -2.8421278e-03
 -9.5578320e-03  1.3652152e-03 -4.1730199e-03  1.9381173e-03
  1.7777539e-03 -5.2947653e-03  1.4481202e-03  9.1453567e-03
  7.8493804e-03 -4.6189181e-03  8.9262241e-05 -2.4962719e-04
  1.9967705e-03 -2.3445108e-03 -4.4629322e-03  9.1072349e-03
  1.0672812e-02  1.7820017e-03 -4.7380528e-03 -1.6737805e-03
 -4.7774748e-03  7.7523841e-03 -8.0101984e-03  5.2227764e-03
 -2.5023657e-03  9.5101092e-03 -8.2742618e-03  6.9864420e-04
 -5.5399677e-03  3.1418172e-03  1.0336385e-02 -1.7463616e-03
  8.4187901e-03 -4.6429336e-03  5.4553323e-03 -3.6918922e-04
 -2.4476630e-04  2.6996101e-03 -9.5564115e-04 -1.0772351e-02
  8.5943388e-03 -9.3471928e-04  7.1962019e-03 -7.0262710e-03
  1.1840023e-03 -3.3337492e-03 -3.2152848e-03  5.5095395e-03
  8.8758534e-03  2.3977580e-03  5.2767992e-03 -3.8778731e-03
 -1.1933900e-03 -7.7861743e-03 -3.4432539e-03  4.4261809e-03
  1.1375326e-03 -1.5143999e-03 -1.1424439e-02 -3.4116365e-03
  4.3759299e-03  1.7883596e-03  3.5337233e-03  4.1311831e-04
  1.1162764e-02 -1.5940540e-03  1.3723895e-03  1.0797147e-03
 -7.3276921e-03 -5.1559992e-03 -2.4269836e-03  2.6427074e-03
 -1.7676499e-03  5.7650306e-03  3.2567914e-04 -4.8888195e-03]"
21,"[ 5.4825568e-03  3.2670153e-03  2.0327708e-03 -3.7796646e-03
  1.1621903e-03  3.9118179e-03 -4.5199851e-03 -2.0337412e-03
  2.0538094e-03  5.2056194e-04 -9.0601889e-04  2.4840835e-04
  4.8389663e-03 -1.7993142e-03 -3.9822306e-03  3.5487770e-03
 -1.2501069e-04  1.5176550e-03 -1.7048118e-03  4.1876358e-04
 -1.4816090e-03 -2.5668656e-03 -4.0052189e-03 -3.9741802e-03
 -1.4391083e-03  1.3076951e-03  4.4821403e-03 -1.8763904e-03
 -2.2000524e-03 -7.5024128e-04  9.6532576e-06 -1.5508615e-03
  5.2114497e-03 -2.8599007e-03 -3.1001712e-03 -2.3099585e-03
 -1.1863846e-03  1.7830991e-03  1.5305597e-03  3.9545377e-03
  3.3782944e-03  3.3217538e-03  4.5708446e-03 -3.5097327e-03
  1.1706495e-03 -3.3646971e-03  2.1757826e-03  5.1860395e-03
 -3.2979664e-03  5.5925045e-03  1.1638855e-03  9.5867546e-04
  3.3324210e-03 -4.5855800e-03  2.8471956e-03 -2.2958894e-03
  1.8461002e-03 -3.8580445e-04  5.1231578e-04  3.2022870e-03
 -3.9625922e-03  4.3711993e-03  4.7013982e-05 -4.5225499e-03
  1.0026085e-04 -3.5291379e-03  4.1471026e-03 -9.7286346e-04
 -1.7909971e-03 -3.6728031e-03 -4.9871467e-03  3.8265437e-04
 -3.1295118e-03  3.9954316e-03 -3.9163441e-03  3.0120809e-03
 -3.9010390e-03  2.4957443e-03  2.5440382e-03  3.4991554e-03
 -3.8606029e-03 -7.6216378e-04 -9.2200709e-05  2.1844802e-03
 -1.3049488e-04 -3.4168484e-03  3.4235092e-03  2.4275947e-03
 -1.9863746e-03  1.2403307e-04  1.2224967e-03  4.2801406e-03
  2.9948866e-03 -1.7470049e-03  2.6148017e-03 -1.7598899e-03
 -2.9374219e-03 -3.5883987e-03  2.1688314e-03 -3.0487960e-03]"
island,"[ 3.7541830e-03  3.6550392e-03 -1.0358103e-05 -1.7025160e-03
 -9.0331875e-04  4.6926569e-03 -4.4615185e-03 -3.1632080e-03
 -1.2314145e-03  3.5821071e-03 -3.1195129e-03 -2.5169842e-03
 -2.2278484e-03  1.3969004e-03 -4.2073610e-03 -1.9220404e-03
 -3.6139314e-03  1.1797833e-03  5.6917069e-04 -1.9761154e-03
  2.9495757e-03  2.9032100e-03  2.7181297e-03 -1.8815044e-03
  1.8873000e-04 -6.2431674e-04 -2.5889000e-03  1.6451768e-03
  2.8331841e-03 -1.6474866e-03 -3.3344717e-03  5.0050025e-03
  9.0102112e-04  3.6020519e-03  3.8234883e-03  3.3111747e-03
  3.2718112e-03  1.3802323e-03 -3.5984269e-03  1.4487804e-03
 -4.1599726e-04  1.6628595e-03 -5.3172163e-04  3.0646517e-03
 -2.7207104e-03  5.9513381e-04 -1.3163154e-03  9.5227128e-04
  3.8090909e-03 -3.3571644e-04  2.8661401e-03 -3.7394889e-04
 -1.8727267e-03  2.5937583e-03 -2.2824430e-03  1.2701267e-03
  2.8334898e-03 -1.4975534e-03 -4.7293874e-03  3.5597966e-03
  2.4397413e-03 -3.3378745e-03 -3.0547453e-03 -6.6527392e-04
 -5.0989678e-04 -2.1135639e-03  5.1517095e-03 -3.3876062e-03
  3.6715039e-03 -1.1791217e-03  3.8916455e-03 -7.4802921e-04
  1.6241574e-03  3.7584270e-04 -3.8063675e-03 -2.4352935e-03
 -7.1565743e-04 -2.5963511e-03  4.3101399e-03 -3.0177215e-03
 -4.5682662e-03 -3.3728699e-03  4.2781392e-03  1.0183249e-03
  2.9053634e-03 -2.4321519e-03  5.3376099e-03  3.5950213e-03
  4.0142429e-03 -4.1180677e-03  1.9421233e-04  4.2272769e-03
  2.5003182e-03  2.5520688e-03 -2.6603839e-03  4.7561866e-03
 -4.9982509e-03  2.6889269e-03 -3.4296515e-03 -7.4022205e-04]"
andaman,"[ 3.3242005e-04  1.0504337e-03  2.3857462e-03  4.0579219e-03
 -3.8524999e-03  2.6710697e-03 -1.0336702e-03  4.3104165e-03
 -1.8481388e-03 -2.8153387e-04  1.5714980e-03  3.8267169e-03
 -1.3732779e-03 -2.7786549e-03  4.2893034e-03  4.9107261e-03
  4.0763491e-03  2.9156830e-03  1.5606326e-03  2.3206919e-04
  3.9305692e-03 -4.6367394e-03 -1.9896326e-03 -2.2311204e-03
  1.7184607e-03  3.0629942e-03  3.6444308e-03  1.4755365e-03
 -1.1491796e-03 -7.1864889e-04 -2.1796485e-03  1.2513191e-03
  3.8405955e-03  2.2373595e-03 -4.8191184e-03 -1.1019118e-03
 -1.6675768e-03  4.7693136e-03 -1.5789396e-04 -2.9591362e-03
  3.9543146e-03  3.5462512e-03  2.9677842e-04  2.8729253e-03
 -3.3637586e-03  3.5974961e-03 -1.9855460e-03  2.3951258e-03
  8.3273550e-04  1.7966747e-03 -2.7305654e-03  6.9155567e-04
 -2.8016209e-03  1.6797986e-03  2.6719952e-03  1.0076845e-03
 -6.6231405e-05  2.8101511e-03  8.0376089e-04 -2.7329656e-03
 -4.0597222e-03 -2.7095040e-03  4.5308601e-03  4.3074414e-03
  7.8065513e-04  2.5806534e-03 -3.0224894e-03 -4.8453375e-03
 -1.6612071e-03 -3.2090902e-04  1.3650423e-03 -4.3579694e-03
  4.8252502e-03 -4.0790034e-03 -2.7015330e-03 -4.2940713e-03
  3.7838439e-03 -2.2269676e-03  5.2319607e-04  1.9961786e-03
 -3.6241188e-05 -7.7367097e-04  2.8155164e-05  4.7707424e-04
 -2.2489878e-03  3.9150352e-03 -4.4808430e-03  1.4492252e-03
  1.7994720e-03  1.4105024e-04  4.7053071e-03 -4.5574782e-03
  2.4812554e-03  3.5444079e-03 -9.1731333e-04 -4.0379749e-03
  2.8886769e-03  2.1713083e-03  2.9517626e-03  2.9617196e-03]"
&,"[-3.3705134e-03 -2.9339439e-03  1.3697844e-03  3.4005451e-03
  3.3752942e-03  4.9917377e-04 -3.8427692e-03 -2.4944129e-03
  4.1204682e-03  3.0319821e-03 -8.6759281e-04  5.5107209e-03
  1.1715853e-03  4.3695918e-04  2.0230366e-03 -1.7080250e-03
 -1.3848430e-03 -1.4299435e-03  7.2231880e-05 -2.8150275e-03
 -2.6029302e-04  3.1849220e-03  1.3366215e-03  1.7829407e-03
 -3.8344157e-03 -3.2869875e-04 -1.4124276e-03 -1.7627632e-03
  2.5512993e-03 -3.5114393e-03 -2.9254411e-03  3.3516746e-03
  3.7218465e-03  2.1719541e-03  2.1955597e-03 -2.0940267e-03
 -3.8941752e-03 -3.9741998e-03 -3.2248932e-03  1.5350713e-03
 -3.7452141e-03 -1.2212107e-03 -4.0546901e-04  4.6761311e-03
  3.6850960e-03 -4.6088644e-03 -1.4854533e-03 -2.2778430e-03
  1.8600308e-03  4.2451438e-03  3.8533064e-03 -4.3586516e-03
 -2.6267981e-03 -2.1459628e-03  5.1494539e-03  1.0759078e-03
 -1.5935104e-03 -4.6762694e-03  4.3173297e-03  1.3935624e-03
  9.8590586e-05 -1.4337351e-03  3.0813285e-03  2.8920914e-03
 -4.9754645e-04  2.3866254e-03  2.9964743e-03 -4.5514652e-03
  2.2948554e-03  3.5832243e-03  3.4916319e-03  1.4067900e-03
 -2.6600575e-03  4.0915743e-03  2.0612222e-03  4.0999614e-03
  3.5649433e-03 -1.4461426e-03 -4.5855935e-03 -2.9136410e-03
 -4.9852747e-03 -4.6862420e-03 -1.8721969e-03  2.7619486e-03
  1.0613287e-03  2.9297089e-03  2.0128029e-04 -2.6369984e-03
  3.3356992e-03  1.6758443e-03  4.1441149e-03  3.6881203e-03
 -1.8808269e-03  3.8110379e-03 -9.2449482e-04  3.2346654e-03
  4.2899898e-03  4.5751510e-03 -8.2794664e-04  3.2614972e-03]"
amp,"[-4.0068822e-03  2.6642948e-03 -2.2705979e-04 -4.1493732e-03
 -2.2253247e-03  5.2479808e-03 -2.4350833e-03 -3.8106663e-03
  1.7684441e-04 -1.2081416e-03  6.6645525e-04  4.8700273e-03
 -3.3573818e-03  4.0497859e-03 -5.4020481e-04  1.3390258e-03
 -1.3407916e-03 -1.7430612e-03 -3.3559978e-03 -9.1604760e-04
  6.7011255e-04 -2.4585777e-03  5.4382347e-04 -3.5514313e-05
 -1.9220858e-03  3.0162183e-03 -1.0570285e-03  5.7943881e-04
  2.0188456e-03 -5.2231383e-03  1.2584206e-03  3.9138068e-03
 -2.4341487e-03 -3.8500270e-03  2.4705089e-04 -1.6815090e-03
  3.4555045e-03 -4.4702832e-03 -4.4073462e-03  2.8610502e-03
  1.7021934e-03 -1.2623048e-03 -4.2290110e-03 -1.3024964e-03
  2.7558771e-03  9.1294263e-04  4.0906011e-03 -8.3562132e-04
 -2.7290485e-03 -3.6471337e-03 -5.4103564e-03 -4.5407764e-03
 -1.5058692e-03 -4.3147509e-03  1.8320683e-03 -3.7679006e-03
  2.4447455e-03 -2.7762624e-03  3.5910001e-03  2.3732823e-03
 -3.3157091e-03  4.7124280e-03  1.1585079e-03 -1.2868084e-03
 -2.7367524e-03 -3.3757172e-03 -1.9157752e-03 -3.3578670e-03
  1.7748214e-03 -9.2940318e-05 -1.6257196e-03 -3.2306686e-03
  6.8534096e-04  2.5615024e-03 -4.0335506e-03 -1.2462420e-03
 -5.3036883e-03  2.3445839e-03 -3.5197183e-03 -4.2441743e-03
 -1.8930286e-03  1.5718212e-03 -2.8008893e-05 -4.9474966e-03
 -4.1086604e-03 -2.9640116e-03 -7.7537470e-04 -2.5008011e-03
 -9.4470597e-04  3.1496123e-03  7.9679058e-04  4.4756429e-03
 -5.2929078e-03  6.5789245e-05 -2.1447050e-03 -2.2484646e-03
  3.5488540e-03  1.9894384e-03  3.7366787e-03  3.7097401e-04]"
;,"[-3.26115587e-05  1.53964595e-03  1.43057585e-03  7.51018873e-04
  3.52002424e-03 -2.59108981e-03 -1.31268485e-03  4.62382287e-03
  2.03663390e-03  5.45583572e-03  3.20782140e-03 -3.63104790e-03
  4.91519459e-03 -3.47924070e-03  3.92664224e-03 -3.82261071e-03
 -3.32116918e-03  1.06168416e-04 -1.99564523e-03  8.82661145e-04
 -3.20617994e-03 -2.85467971e-03  3.32168466e-03 -4.34647605e-04
 -1.00528426e-03 -7.83056079e-04 -1.18100410e-03 -2.97537912e-03
  4.32345551e-03  3.53140035e-03  1.13392773e-03 -3.87233309e-03
  7.11118511e-04 -1.66452012e-03 -4.36900323e-03  7.01862620e-04
 -1.87320088e-03  3.56665114e-03  7.02366873e-04 -6.00042462e-04
  5.03348978e-03 -4.14533122e-03  3.73890507e-04  7.38016854e-04
 -6.81003497e-04 -1.01714060e-04 -3.12084472e-03  1.93436770e-03
 -1.74751750e-03 -1.77484856e-03  4.16334765e-03  2.80833780e-03
 -4.41475026e-03  8.06921278e-04 -1.14810257e-03  5.26446092e-05
  3.36220721e-03  3.57899209e-03 -4.61936696e-03 -2.46534255e-05
 -2.34998786e-03  4.63548210e-03  4.41899419e-06  9.04782326e-04
 -9.78066353e-04 -3.09589575e-03 -2.25426583e-03  1.48419198e-03
  4.71553905e-03 -2.85976892e-03 -3.68628558e-03 -8.73699719e-06
  2.40915176e-03 -2.61645019e-03 -4.60672891e-03  3.63367423e-03
 -1.26415142e-03 -2.46331590e-04 -2.86041090e-04 -1.04783045e-03
 -2.82520428e-03 -4.92386171e-04  3.88040161e-03 -8.11960956e-04
 -3.14645329e-03  1.90641766e-03  2.21455423e-03  1.88359630e-03
 -4.19938267e-04  3.31376749e-03  7.48538587e-05 -4.01596492e-03
 -2.70714122e-03 -5.19375689e-03 -3.31728533e-03  5.54353837e-03
 -4.83891554e-03 -3.27133643e-03 -2.83023249e-03 -2.39886180e-03]"
nicobar,"[ 2.3148486e-03  1.6220449e-03 -6.9636840e-04 -4.2728609e-03
  1.0723207e-03  1.1421657e-03  2.0259707e-03  5.3472404e-04
  4.9519781e-03  3.6477903e-03 -4.6157939e-03 -2.6782202e-03
 -2.5502641e-03 -2.5400680e-03 -4.5408451e-04  3.6935875e-04
  3.2312092e-03  9.0523803e-04  4.4128685e-03  1.7810732e-03
  3.8788621e-03 -1.0336129e-04  2.2313085e-03 -1.9814342e-03
 -3.2321261e-03  2.6192705e-03 -4.1989447e-03  2.4511891e-03
 -9.5693470e-04 -3.4743693e-04  2.1927946e-03 -4.7046668e-03
 -4.6249954e-03  1.7828421e-03 -4.2783902e-03 -2.3785734e-03
 -4.4963793e-03  1.4747848e-03 -4.9370872e-03 -2.3658599e-03
 -4.7508013e-03 -7.3101267e-04  4.4746841e-03 -3.5024935e-03
  3.7104313e-03 -1.2265254e-03 -1.9551420e-03  4.1256100e-03
  2.3416511e-03 -2.2318282e-03 -2.8062268e-05  3.1299926e-03
  3.7923170e-04 -4.2112698e-03  2.5586449e-03 -4.8176129e-04
  5.8009714e-04  6.5906614e-04 -2.2546679e-03 -1.8154089e-03
 -4.2496240e-03  2.0998088e-03  2.5901900e-04 -2.4945012e-04
 -3.8751536e-03  3.7570754e-03  3.7588798e-03 -3.6658049e-03
  1.9070653e-03 -1.1022246e-03 -4.0965937e-03  2.8588707e-03
  3.6584865e-03 -3.5507507e-03 -1.2747503e-03  2.4225626e-03
  1.9904708e-04 -3.4427731e-03  4.3945010e-03  3.7669186e-03
  1.5666961e-03 -3.2716163e-03  3.8523760e-03 -3.0791706e-03
  3.3618174e-03 -8.7601074e-04  2.0104705e-03  3.9280620e-03
  3.6428189e-03  3.4178677e-03  2.6291078e-03  5.4527313e-04
 -3.2983837e-03 -2.3523539e-03 -4.1279695e-03 -1.0926882e-04
  3.8625835e-04  2.8572914e-03  7.5932936e-04 -2.0517252e-04]"
after,"[ 3.4327446e-03  4.4508749e-03  2.7610324e-03  4.3250439e-03
 -2.7990886e-03  2.6277946e-03  1.5666469e-03  1.5358439e-03
  1.4920867e-03  3.3669392e-05  2.5391220e-03 -2.6394328e-04
  4.4475393e-03  1.8508079e-03  4.3293633e-03  2.7442694e-04
  2.5682016e-03  4.7963955e-03  4.5984029e-03 -3.3591145e-03
 -1.1036169e-03 -3.0300340e-03  5.0310213e-03  2.9131165e-03
  1.8957421e-03 -1.2302317e-03 -4.4942396e-03  1.5153731e-03
  2.8769043e-04  1.1965305e-03 -4.1434504e-03 -2.8357231e-03
  3.1275274e-03  4.2445473e-03 -4.1816663e-04  2.8520694e-04
  7.3776045e-04 -3.0095784e-03 -8.3066366e-04  1.8446599e-03
  2.7206913e-03 -4.8512514e-03 -2.2575276e-03  3.4783052e-03
  1.4396099e-04  1.8045848e-05  1.1456511e-03 -3.8990616e-03
 -1.0453541e-03  4.2413101e-03  9.4361091e-04  3.7441782e-03
  8.9390104e-04 -4.5572245e-03  3.9862720e-03 -2.4491276e-03
  6.0632755e-04  3.7663882e-03  2.4913743e-03  9.0194418e-04
 -3.1687578e-03 -1.2178750e-03  2.3554123e-03 -4.0693898e-03
 -1.1225290e-03  1.3144095e-03 -2.4571782e-03 -4.1431836e-03
 -1.8138081e-03 -4.3779747e-03  3.1860374e-04  1.1255622e-04
  2.4794454e-03 -4.9628168e-03  3.3055216e-03  3.0996602e-03
 -4.2846627e-03  1.7845770e-03  7.7817094e-04 -2.0366977e-03
 -2.3090648e-03 -1.1573763e-03 -2.9427120e-03 -2.7330588e-03
  2.9457157e-04 -3.6574792e-04 -4.8686168e-04  1.0190671e-03
 -1.4124579e-03  4.7054300e-03  1.0591123e-03 -2.5393222e-03
 -4.5457785e-03 -1.1507670e-03  1.3626661e-03  5.9582136e-04
  1.4430205e-03 -1.0437871e-04  2.1408820e-03 -3.2193926e-03]"
