;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/20/2014 11:28:01 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x002F940C  	JMP        _main
0x0004	0x0000940C  	JMP        0
0x0008	0x0000940C  	JMP        0
0x000C	0x0000940C  	JMP        0
0x0010	0x0000940C  	JMP        0
0x0014	0x0000940C  	JMP        0
0x0018	0x0000940C  	JMP        0
0x001C	0x0000940C  	JMP        0
0x0020	0x0000940C  	JMP        0
0x0024	0x0000940C  	JMP        0
0x0028	0x0000940C  	JMP        0
0x002C	0x0000940C  	JMP        0
0x0030	0x0000940C  	JMP        0
0x0034	0x0000940C  	JMP        0
0x0038	0x0000940C  	JMP        0
0x003C	0x0000940C  	JMP        0
0x0040	0x0000940C  	JMP        0
0x0044	0x0000940C  	JMP        0
0x0048	0x0000940C  	JMP        0
0x004C	0x0000940C  	JMP        0
0x0050	0x0000940C  	JMP        0
_main:
0x005E	0xE5BF    	LDI        R27, 95
0x0060	0xBFBD    	OUT        SPL+0, R27
0x0062	0xE0B4    	LDI        R27, 4
0x0064	0xBFBE    	OUT        SPL+1, R27
0x0066	0xB7CD    	IN         R28, SPL+0
0x0068	0xB7DE    	IN         R29, SPL+1
0x006A	0x9721    	SBIW       R28, 1
0x006C	0xBFCD    	OUT        SPL+0, R28
0x006E	0xBFDE    	OUT        SPL+1, R29
0x0070	0x9621    	ADIW       R28, 1
;stepper motor.c,7 :: 		void main()
;stepper motor.c,10 :: 		MOTOR_DIR = 0xFF;
0x0072	0xEFBF    	LDI        R27, 255
0x0074	0xBBB1    	OUT        DDRD+0, R27
;stepper motor.c,12 :: 		while(1)
L_main0:
;stepper motor.c,14 :: 		for(i=0;i<12;i++)
0x0076	0xE0B0    	LDI        R27, 0
0x0078	0x83B8    	STD        Y+0, R27
L_main2:
0x007A	0x8108    	LDD        R16, Y+0
0x007C	0x300C    	CPI        R16, 12
0x007E	0xF008    	BRLO       L__main25
0x0080	0xC068    	RJMP       L_main3
L__main25:
;stepper motor.c,16 :: 		m1=1;m2=m3=m4=0;
0x0082	0xB3B2    	IN         R27, PORTD+0
0x0084	0x60B1    	SBR        R27, 1
0x0086	0xBBB2    	OUT        PORTD+0, R27
0x0088	0xB3B2    	IN         R27, PORTD+0
0x008A	0x7FBB    	CBR        R27, 4
0x008C	0xBBB2    	OUT        PORTD+0, R27
0x008E	0xB3B2    	IN         R27, PORTD+0
0x0090	0xFBB2    	BST        R27, 2
0x0092	0xB3B2    	IN         R27, PORTD+0
0x0094	0xF9B1    	BLD        R27, 1
0x0096	0xBBB2    	OUT        PORTD+0, R27
0x0098	0xB3B2    	IN         R27, PORTD+0
0x009A	0xFBB1    	BST        R27, 1
0x009C	0xB3B2    	IN         R27, PORTD+0
0x009E	0xF9B3    	BLD        R27, 3
0x00A0	0xBBB2    	OUT        PORTD+0, R27
;stepper motor.c,17 :: 		delay_ms(1000);
0x00A2	0xE229    	LDI        R18, 41
0x00A4	0xE916    	LDI        R17, 150
0x00A6	0xE800    	LDI        R16, 128
L_main5:
0x00A8	0x950A    	DEC        R16
0x00AA	0xF7F1    	BRNE       L_main5
0x00AC	0x951A    	DEC        R17
0x00AE	0xF7E1    	BRNE       L_main5
0x00B0	0x952A    	DEC        R18
0x00B2	0xF7D1    	BRNE       L_main5
;stepper motor.c,18 :: 		m2=1;m1=m3=m4=0;
0x00B4	0xB3B2    	IN         R27, PORTD+0
0x00B6	0x60B8    	SBR        R27, 8
0x00B8	0xBBB2    	OUT        PORTD+0, R27
0x00BA	0xB3B2    	IN         R27, PORTD+0
0x00BC	0x7FBB    	CBR        R27, 4
0x00BE	0xBBB2    	OUT        PORTD+0, R27
0x00C0	0xB3B2    	IN         R27, PORTD+0
0x00C2	0xFBB2    	BST        R27, 2
0x00C4	0xB3B2    	IN         R27, PORTD+0
0x00C6	0xF9B1    	BLD        R27, 1
0x00C8	0xBBB2    	OUT        PORTD+0, R27
0x00CA	0xB3B2    	IN         R27, PORTD+0
0x00CC	0xFBB1    	BST        R27, 1
0x00CE	0xB3B2    	IN         R27, PORTD+0
0x00D0	0xF9B0    	BLD        R27, 0
0x00D2	0xBBB2    	OUT        PORTD+0, R27
;stepper motor.c,19 :: 		delay_ms(1000);
0x00D4	0xE229    	LDI        R18, 41
0x00D6	0xE916    	LDI        R17, 150
0x00D8	0xE800    	LDI        R16, 128
L_main7:
0x00DA	0x950A    	DEC        R16
0x00DC	0xF7F1    	BRNE       L_main7
0x00DE	0x951A    	DEC        R17
0x00E0	0xF7E1    	BRNE       L_main7
0x00E2	0x952A    	DEC        R18
0x00E4	0xF7D1    	BRNE       L_main7
;stepper motor.c,20 :: 		m3=1;m1=m2=m4=0;
0x00E6	0xB3B2    	IN         R27, PORTD+0
0x00E8	0x60B2    	SBR        R27, 2
0x00EA	0xBBB2    	OUT        PORTD+0, R27
0x00EC	0xB3B2    	IN         R27, PORTD+0
0x00EE	0x7FBB    	CBR        R27, 4
0x00F0	0xBBB2    	OUT        PORTD+0, R27
0x00F2	0xB3B2    	IN         R27, PORTD+0
0x00F4	0xFBB2    	BST        R27, 2
0x00F6	0xB3B2    	IN         R27, PORTD+0
0x00F8	0xF9B3    	BLD        R27, 3
0x00FA	0xBBB2    	OUT        PORTD+0, R27
0x00FC	0xB3B2    	IN         R27, PORTD+0
0x00FE	0xFBB3    	BST        R27, 3
0x0100	0xB3B2    	IN         R27, PORTD+0
0x0102	0xF9B0    	BLD        R27, 0
0x0104	0xBBB2    	OUT        PORTD+0, R27
;stepper motor.c,21 :: 		delay_ms(1000);
0x0106	0xE229    	LDI        R18, 41
0x0108	0xE916    	LDI        R17, 150
0x010A	0xE800    	LDI        R16, 128
L_main9:
0x010C	0x950A    	DEC        R16
0x010E	0xF7F1    	BRNE       L_main9
0x0110	0x951A    	DEC        R17
0x0112	0xF7E1    	BRNE       L_main9
0x0114	0x952A    	DEC        R18
0x0116	0xF7D1    	BRNE       L_main9
;stepper motor.c,22 :: 		m1=m2=m3=0;m4=1;
0x0118	0xB3B2    	IN         R27, PORTD+0
0x011A	0x7FBD    	CBR        R27, 2
0x011C	0xBBB2    	OUT        PORTD+0, R27
0x011E	0xB3B2    	IN         R27, PORTD+0
